NumeroSorteado,Atraso,Repeticao,Status
1,1,0,1
2,0,4,2
3,0,2,2
4,1,0,1
5,0,1,0
6,0,1,2
7,1,0,0
8,0,1,0
9,0,1,2
10,0,2,0
11,1,0,0
12,1,0,1
13,0,1,0
14,0,1,0
15,1,0,1
16,0,1,0
17,1,0,1
18,0,1,2
19,1,0,1
20,0,3,0
21,0,2,2
22,2,0,0
23,0,1,2
24,1,0,1
25,0,4,2
1,0,1,2
2,0,5,2
3,0,3,2
4,0,1,2
5,1,0,1
6,0,2,2
7,2,0,0
8,1,0,1
9,0,2,0
10,1,0,1
11,2,0,1
12,0,1,0
13,1,0,1
14,1,0,0
15,0,1,0
16,1,0,1
17,0,1,0
18,0,2,2
19,0,1,2
20,1,0,0
21,0,3,0
22,3,0,0
23,0,2,2
24,0,1,2
25,0,5,0
1,0,2,2
2,0,6,2
3,0,4,2
4,0,2,2
5,0,1,2
6,0,3,0
7,3,0,1
8,0,1,0
9,1,0,0
10,0,1,0
11,0,1,2
12,1,0,1
13,0,1,0
14,2,0,1
15,1,0,1
16,0,1,0
17,1,0,1
18,0,3,0
19,0,2,0
20,2,0,1
21,1,0,1
22,4,0,0
23,0,3,0
24,0,2,2
25,1,0,1
1,0,3,2
2,0,7,0
3,0,5,0
4,0,3,0
5,0,2,0
6,1,0,1
7,0,1,0
8,1,0,0
9,2,0,1
10,1,0,1
11,0,2,0
12,0,1,2
13,1,0,1
14,0,1,2
15,0,1,2
16,1,0,1
17,0,1,2
18,1,0,1
19,1,0,1
20,0,1,2
21,0,1,2
22,5,0,0
23,1,0,1
24,0,3,0
25,0,1,0
1,0,4,0
2,1,0,0
3,1,0,1
4,1,0,1
5,1,0,0
6,0,1,2
7,1,0,1
8,2,0,0
9,0,1,2
10,0,1,0
11,1,0,1
12,0,2,0
13,0,1,0
14,0,2,0
15,0,2,2
16,0,1,2
17,0,2,2
18,0,1,2
19,0,1,2
20,0,2,2
21,0,2,2
22,6,0,1
23,0,1,0
24,1,0,1
25,1,0,0
1,1,0,0
2,2,0,0
3,0,1,0
4,0,1,2
5,2,0,1
6,0,2,2
7,0,1,0
8,3,0,0
9,0,2,2
10,1,0,0
11,0,1,2
12,1,0,1
13,1,0,1
14,1,0,0
15,0,3,2
16,0,2,2
17,0,3,2
18,0,2,0
19,0,2,2
20,0,3,2
21,0,3,2
22,0,1,2
23,1,0,0
24,0,1,2
25,2,0,0
1,2,0,1
2,3,0,1
